surrogate_key,mobility_id,Metro_area,Subregion_1,Subregion_2,Date,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,Transit_stations,Workplaces,Residential
488,51854,,Ontario,York,2020-09-01,ON,-14.0,4.0,,-49.0,-49.0,15.0
489,51855,,Ontario,York,2020-09-02,ON,-11.0,4.0,,-52.0,-50.0,16.0
490,51856,,Ontario,York,2020-09-03,ON,-11.0,7.0,,-49.0,-48.0,15.0
491,51857,,Ontario,York,2020-09-04,ON,-13.0,6.0,,-45.0,-47.0,13.0
492,51858,,Ontario,York,2020-09-05,ON,-20.0,0.0,,-24.0,-11.0,2.0
493,51859,,Ontario,York,2020-09-06,ON,-14.0,-1.0,,-30.0,-9.0,0.0
494,51860,,Ontario,York,2020-09-07,ON,-30.0,-21.0,,-69.0,-83.0,23.0
495,51861,,Ontario,York,2020-09-08,ON,-14.0,9.0,,-52.0,-50.0,16.0
496,51862,,Ontario,York,2020-09-09,ON,-13.0,4.0,,-53.0,-49.0,16.0
497,51863,,Ontario,York,2020-09-10,ON,-13.0,5.0,,-50.0,-48.0,16.0
498,51864,,Ontario,York,2020-09-11,ON,-16.0,2.0,163.0,-46.0,-45.0,15.0
499,51865,,Ontario,York,2020-09-12,ON,-16.0,3.0,281.0,-21.0,-3.0,4.0
500,51866,,Ontario,York,2020-09-13,ON,-18.0,-1.0,194.0,-31.0,-4.0,5.0
501,51867,,Ontario,York,2020-09-14,ON,-13.0,1.0,178.0,-52.0,-45.0,15.0
502,51868,,Ontario,York,2020-09-15,ON,-15.0,3.0,151.0,-51.0,-45.0,16.0
503,51869,,Ontario,York,2020-09-16,ON,-14.0,0.0,175.0,-49.0,-46.0,16.0
504,51870,,Ontario,York,2020-09-17,ON,-16.0,5.0,157.0,-50.0,-45.0,16.0
505,51871,,Ontario,York,2020-09-18,ON,-18.0,1.0,119.0,-48.0,-43.0,15.0
506,51872,,Ontario,York,2020-09-19,ON,-18.0,4.0,230.0,-27.0,-3.0,5.0
507,51873,,Ontario,York,2020-09-20,ON,-18.0,-1.0,242.0,-31.0,-3.0,4.0
508,51874,,Ontario,York,2020-09-21,ON,-16.0,0.0,169.0,-51.0,-46.0,16.0
509,51875,,Ontario,York,2020-09-22,ON,-19.0,3.0,153.0,-51.0,-46.0,16.0
510,51876,,Ontario,York,2020-09-23,ON,-17.0,3.0,159.0,-51.0,-45.0,16.0
511,51877,,Ontario,York,2020-09-24,ON,-19.0,4.0,126.0,-52.0,-44.0,16.0
512,51878,,Ontario,York,2020-09-25,ON,-20.0,2.0,139.0,-49.0,-41.0,15.0
513,51879,,Ontario,York,2020-09-26,ON,-19.0,5.0,268.0,-27.0,0.0,4.0
514,51880,,Ontario,York,2020-09-27,ON,-19.0,1.0,239.0,-34.0,-1.0,3.0
515,51881,,Ontario,York,2020-09-28,ON,-21.0,-1.0,157.0,-54.0,-46.0,16.0
516,51882,,Ontario,York,2020-09-29,ON,-20.0,6.0,107.0,-53.0,-44.0,16.0
517,51883,,Ontario,York,2020-09-30,ON,-19.0,3.0,45.0,-56.0,-45.0,17.0
518,51884,,Ontario,York,2020-10-01,ON,-17.0,11.0,110.0,-53.0,-42.0,16.0
519,51885,,Ontario,York,2020-10-02,ON,-22.0,1.0,83.0,-50.0,-41.0,17.0
520,51886,,Ontario,York,2020-10-03,ON,-21.0,2.0,211.0,-30.0,-3.0,6.0
521,51887,,Ontario,York,2020-10-04,ON,-26.0,-4.0,24.0,-45.0,-9.0,7.0
522,51888,,Ontario,York,2020-10-05,ON,-19.0,0.0,141.0,-53.0,-44.0,16.0
523,51889,,Ontario,York,2020-10-06,ON,-21.0,5.0,115.0,-54.0,-45.0,17.0
524,51890,,Ontario,York,2020-10-07,ON,-20.0,2.0,59.0,-57.0,-45.0,18.0
525,51891,,Ontario,York,2020-10-08,ON,-19.0,9.0,85.0,-54.0,-43.0,17.0
526,51892,,Ontario,York,2020-10-09,ON,-19.0,13.0,122.0,-50.0,-42.0,15.0
527,51893,,Ontario,York,2020-10-10,ON,-23.0,9.0,213.0,-33.0,-5.0,6.0
528,51894,,Ontario,York,2020-10-11,ON,-23.0,6.0,204.0,-40.0,-7.0,4.0
529,51895,,Ontario,York,2020-10-12,ON,-45.0,-35.0,201.0,-73.0,-83.0,26.0
530,51896,,Ontario,York,2020-10-13,ON,-21.0,8.0,140.0,-55.0,-45.0,17.0
531,51897,,Ontario,York,2020-10-14,ON,-18.0,5.0,128.0,-55.0,-44.0,18.0
532,51898,,Ontario,York,2020-10-15,ON,-23.0,-1.0,13.0,-59.0,-44.0,19.0
533,51899,,Ontario,York,2020-10-16,ON,-19.0,4.0,97.0,-52.0,-40.0,17.0
534,51900,,Ontario,York,2020-10-17,ON,-17.0,8.0,253.0,-33.0,-1.0,6.0
535,51901,,Ontario,York,2020-10-18,ON,-20.0,-1.0,104.0,-47.0,-5.0,7.0
536,51902,,Ontario,York,2020-10-19,ON,-27.0,-4.0,47.0,-58.0,-45.0,18.0
537,51903,,Ontario,York,2020-10-20,ON,-26.0,3.0,91.0,-57.0,-45.0,18.0
538,51904,,Ontario,York,2020-10-21,ON,-26.0,0.0,72.0,-59.0,-45.0,19.0
539,51905,,Ontario,York,2020-10-22,ON,-26.0,2.0,59.0,-57.0,-43.0,19.0
540,51906,,Ontario,York,2020-10-23,ON,-27.0,0.0,160.0,-51.0,-41.0,17.0
541,51907,,Ontario,York,2020-10-24,ON,-27.0,5.0,142.0,-38.0,-5.0,8.0
542,51908,,Ontario,York,2020-10-25,ON,-29.0,-1.0,127.0,-45.0,-8.0,7.0
543,51909,,Ontario,York,2020-10-26,ON,-26.0,-2.0,62.0,-58.0,-44.0,18.0
544,51910,,Ontario,York,2020-10-27,ON,-30.0,-2.0,15.0,-58.0,-44.0,19.0
545,51911,,Ontario,York,2020-10-28,ON,-23.0,4.0,92.0,-56.0,-44.0,18.0
546,51912,,Ontario,York,2020-10-29,ON,-25.0,4.0,34.0,-58.0,-43.0,19.0
547,51913,,Ontario,York,2020-10-30,ON,-27.0,3.0,22.0,-55.0,-41.0,18.0
548,51914,,Ontario,York,2020-10-31,ON,-26.0,9.0,138.0,-33.0,-5.0,7.0
549,51915,,Ontario,York,2020-11-01,ON,-32.0,-3.0,-2.0,-52.0,-12.0,9.0
550,51916,,Ontario,York,2020-11-02,ON,-28.0,-6.0,13.0,-60.0,-44.0,19.0
551,51917,,Ontario,York,2020-11-03,ON,-29.0,0.0,31.0,-59.0,-45.0,19.0
552,51918,,Ontario,York,2020-11-04,ON,-25.0,0.0,107.0,-56.0,-44.0,18.0
553,51919,,Ontario,York,2020-11-05,ON,-26.0,1.0,88.0,-57.0,-42.0,18.0
554,51920,,Ontario,York,2020-11-06,ON,-27.0,0.0,114.0,-55.0,-40.0,18.0
555,51921,,Ontario,York,2020-11-07,ON,-20.0,3.0,265.0,-35.0,-2.0,6.0
556,51922,,Ontario,York,2020-11-08,ON,-21.0,0.0,268.0,-41.0,-5.0,5.0
557,51923,,Ontario,York,2020-11-09,ON,-21.0,-2.0,140.0,-56.0,-43.0,17.0
558,51924,,Ontario,York,2020-11-10,ON,-22.0,2.0,143.0,-56.0,-43.0,17.0
559,51925,,Ontario,York,2020-11-11,ON,-17.0,4.0,88.0,-58.0,-45.0,18.0
560,51926,,Ontario,York,2020-11-12,ON,-22.0,4.0,70.0,-58.0,-42.0,18.0
561,51927,,Ontario,York,2020-11-13,ON,-23.0,0.0,38.0,-57.0,-43.0,19.0
562,51928,,Ontario,York,2020-11-14,ON,-22.0,4.0,140.0,-41.0,-3.0,8.0
563,51929,,Ontario,York,2020-11-15,ON,-33.0,-13.0,-20.0,-57.0,-12.0,10.0
564,51930,,Ontario,York,2020-11-16,ON,-25.0,-5.0,18.0,-62.0,-44.0,19.0
565,51931,,Ontario,York,2020-11-17,ON,-28.0,-4.0,13.0,-62.0,-44.0,20.0
566,51932,,Ontario,York,2020-11-18,ON,-26.0,-3.0,10.0,-61.0,-45.0,20.0
567,51933,,Ontario,York,2020-11-19,ON,-23.0,2.0,49.0,-60.0,-42.0,19.0
568,51934,,Ontario,York,2020-11-20,ON,-22.0,2.0,89.0,-56.0,-41.0,18.0
569,51935,,Ontario,York,2020-11-21,ON,-22.0,7.0,66.0,-42.0,-4.0,9.0
570,51936,,Ontario,York,2020-11-22,ON,-39.0,-21.0,2.0,-57.0,-16.0,11.0
571,51937,,Ontario,York,2020-11-23,ON,-24.0,-5.0,21.0,-62.0,-46.0,20.0
572,51938,,Ontario,York,2020-11-24,ON,-24.0,-1.0,7.0,-63.0,-45.0,20.0
573,51939,,Ontario,York,2020-11-25,ON,-22.0,-2.0,1.0,-62.0,-45.0,21.0
574,51940,,Ontario,York,2020-11-26,ON,-19.0,6.0,26.0,-60.0,-43.0,20.0
575,51941,,Ontario,York,2020-11-27,ON,-20.0,3.0,24.0,-58.0,-42.0,19.0
576,51942,,Ontario,York,2020-11-28,ON,-20.0,9.0,116.0,-40.0,-5.0,9.0
577,51943,,Ontario,York,2020-11-29,ON,-22.0,1.0,134.0,-47.0,-11.0,8.0
578,51944,,Ontario,York,2020-11-30,ON,-22.0,-4.0,-12.0,-63.0,-45.0,20.0
579,51945,,Ontario,York,2020-12-01,ON,-34.0,-12.0,1.0,-64.0,-48.0,22.0
580,51946,,Ontario,York,2020-12-02,ON,-20.0,4.0,20.0,-60.0,-45.0,20.0
581,51947,,Ontario,York,2020-12-03,ON,-21.0,7.0,25.0,-60.0,-43.0,20.0
582,51948,,Ontario,York,2020-12-04,ON,-25.0,-2.0,0.0,-60.0,-42.0,21.0
583,51949,,Ontario,York,2020-12-05,ON,-21.0,8.0,50.0,-42.0,-7.0,10.0
584,51950,,Ontario,York,2020-12-06,ON,-23.0,2.0,59.0,-52.0,-13.0,9.0
585,51951,,Ontario,York,2020-12-07,ON,-20.0,-2.0,19.0,-61.0,-45.0,19.0
586,51952,,Ontario,York,2020-12-08,ON,-23.0,2.0,18.0,-61.0,-44.0,20.0
587,51953,,Ontario,York,2020-12-09,ON,-25.0,-5.0,10.0,-60.0,-46.0,21.0
588,51954,,Ontario,York,2020-12-10,ON,-19.0,7.0,19.0,-59.0,-43.0,20.0
589,51955,,Ontario,York,2020-12-11,ON,-19.0,10.0,27.0,-57.0,-41.0,19.0
590,51956,,Ontario,York,2020-12-12,ON,-19.0,10.0,5.0,-42.0,-7.0,11.0
591,51957,,Ontario,York,2020-12-13,ON,-16.0,9.0,39.0,-47.0,-9.0,9.0
592,51958,,Ontario,York,2020-12-14,ON,-36.0,-5.0,17.0,-64.0,-46.0,20.0
593,51959,,Ontario,York,2020-12-15,ON,-36.0,-2.0,8.0,-63.0,-47.0,21.0
594,51960,,Ontario,York,2020-12-16,ON,-36.0,-5.0,-15.0,-65.0,-47.0,22.0
595,51961,,Ontario,York,2020-12-17,ON,-33.0,6.0,9.0,-63.0,-45.0,21.0
596,51962,,Ontario,York,2020-12-18,ON,-35.0,1.0,9.0,-61.0,-44.0,21.0
597,51963,,Ontario,York,2020-12-19,ON,-42.0,-3.0,41.0,-49.0,-15.0,12.0
598,51964,,Ontario,York,2020-12-20,ON,-42.0,-6.0,32.0,-57.0,-19.0,11.0
599,51965,,Ontario,York,2020-12-21,ON,-24.0,14.0,36.0,-64.0,-53.0,20.0
600,51966,,Ontario,York,2020-12-22,ON,-24.0,26.0,25.0,-64.0,-54.0,21.0
601,51967,,Ontario,York,2020-12-23,ON,-15.0,45.0,36.0,-62.0,-55.0,21.0
602,51968,,Ontario,York,2020-12-24,ON,-30.0,36.0,-1.0,-70.0,-68.0,26.0
603,51969,,Ontario,York,2020-12-25,ON,-83.0,-76.0,49.0,-83.0,-89.0,35.0
604,51970,,Ontario,York,2020-12-26,ON,-64.0,-42.0,84.0,-66.0,-48.0,17.0
605,51971,,Ontario,York,2020-12-27,ON,-51.0,-21.0,85.0,-63.0,-27.0,12.0
606,51972,,Ontario,York,2020-12-28,ON,-41.0,-3.0,35.0,-77.0,-76.0,29.0
607,51973,,Ontario,York,2020-12-29,ON,-37.0,6.0,48.0,-71.0,-65.0,26.0
608,51974,,Ontario,York,2020-12-30,ON,-35.0,15.0,0.0,-72.0,-65.0,27.0
609,51975,,Ontario,York,2020-12-31,ON,-32.0,26.0,35.0,-73.0,-69.0,27.0
610,54393,,Ontario,Toronto,2020-09-01,ON,-25.0,-6.0,95.0,-50.0,-52.0,14.0
611,54394,,Ontario,Toronto,2020-09-02,ON,-25.0,-8.0,62.0,-53.0,-52.0,15.0
612,54395,,Ontario,Toronto,2020-09-03,ON,-23.0,-4.0,92.0,-50.0,-50.0,14.0
613,54396,,Ontario,Toronto,2020-09-04,ON,-24.0,-5.0,82.0,-48.0,-50.0,13.0
614,54397,,Ontario,Toronto,2020-09-05,ON,-26.0,-11.0,100.0,-33.0,-12.0,2.0
615,54398,,Ontario,Toronto,2020-09-06,ON,-19.0,-9.0,138.0,-28.0,-12.0,-1.0
616,54399,,Ontario,Toronto,2020-09-07,ON,-53.0,-48.0,67.0,-71.0,-81.0,21.0
617,54400,,Ontario,Toronto,2020-09-08,ON,-25.0,1.0,33.0,-53.0,-52.0,14.0
618,54401,,Ontario,Toronto,2020-09-09,ON,-27.0,-7.0,43.0,-53.0,-51.0,15.0
619,54402,,Ontario,Toronto,2020-09-10,ON,-25.0,-3.0,60.0,-51.0,-49.0,15.0
620,54403,,Ontario,Toronto,2020-09-11,ON,-26.0,-7.0,68.0,-48.0,-48.0,14.0
621,54404,,Ontario,Toronto,2020-09-12,ON,-22.0,-6.0,125.0,-30.0,-6.0,3.0
622,54405,,Ontario,Toronto,2020-09-13,ON,-23.0,-10.0,85.0,-34.0,-10.0,3.0
623,54406,,Ontario,Toronto,2020-09-14,ON,-26.0,-7.0,57.0,-53.0,-48.0,15.0
624,54407,,Ontario,Toronto,2020-09-15,ON,-25.0,-6.0,63.0,-52.0,-48.0,15.0
625,54408,,Ontario,Toronto,2020-09-16,ON,-26.0,-10.0,74.0,-51.0,-49.0,15.0
626,54409,,Ontario,Toronto,2020-09-17,ON,-27.0,-5.0,60.0,-51.0,-48.0,15.0
627,54410,,Ontario,Toronto,2020-09-18,ON,-28.0,-9.0,46.0,-49.0,-47.0,14.0
628,54411,,Ontario,Toronto,2020-09-19,ON,-24.0,-7.0,92.0,-33.0,-7.0,4.0
629,54412,,Ontario,Toronto,2020-09-20,ON,-23.0,-9.0,99.0,-34.0,-9.0,3.0
630,54413,,Ontario,Toronto,2020-09-21,ON,-29.0,-9.0,55.0,-53.0,-49.0,15.0
631,54414,,Ontario,Toronto,2020-09-22,ON,-29.0,-7.0,59.0,-52.0,-49.0,15.0
632,54415,,Ontario,Toronto,2020-09-23,ON,-29.0,-9.0,68.0,-52.0,-48.0,15.0
633,54416,,Ontario,Toronto,2020-09-24,ON,-30.0,-6.0,37.0,-52.0,-47.0,16.0
634,54417,,Ontario,Toronto,2020-09-25,ON,-30.0,-7.0,61.0,-49.0,-46.0,14.0
635,54418,,Ontario,Toronto,2020-09-26,ON,-25.0,-6.0,115.0,-32.0,-4.0,3.0
636,54419,,Ontario,Toronto,2020-09-27,ON,-25.0,-8.0,108.0,-34.0,-7.0,2.0
637,54420,,Ontario,Toronto,2020-09-28,ON,-32.0,-8.0,50.0,-54.0,-48.0,15.0
638,54421,,Ontario,Toronto,2020-09-29,ON,-31.0,-6.0,33.0,-53.0,-48.0,15.0
639,54422,,Ontario,Toronto,2020-09-30,ON,-32.0,-9.0,0.0,-54.0,-48.0,17.0
640,54423,,Ontario,Toronto,2020-10-01,ON,-29.0,-1.0,32.0,-53.0,-45.0,16.0
641,54424,,Ontario,Toronto,2020-10-02,ON,-33.0,-8.0,14.0,-51.0,-45.0,16.0
642,54425,,Ontario,Toronto,2020-10-03,ON,-28.0,-7.0,66.0,-36.0,-7.0,6.0
643,54426,,Ontario,Toronto,2020-10-04,ON,-33.0,-12.0,-12.0,-43.0,-14.0,6.0
644,54427,,Ontario,Toronto,2020-10-05,ON,-32.0,-5.0,36.0,-54.0,-47.0,16.0
645,54428,,Ontario,Toronto,2020-10-06,ON,-33.0,-6.0,39.0,-53.0,-47.0,15.0
646,54429,,Ontario,Toronto,2020-10-07,ON,-34.0,-9.0,12.0,-55.0,-47.0,17.0
647,54430,,Ontario,Toronto,2020-10-08,ON,-33.0,-3.0,14.0,-53.0,-46.0,17.0
648,54431,,Ontario,Toronto,2020-10-09,ON,-31.0,1.0,40.0,-50.0,-45.0,15.0
649,54432,,Ontario,Toronto,2020-10-10,ON,-35.0,-4.0,68.0,-39.0,-9.0,5.0
650,54433,,Ontario,Toronto,2020-10-11,ON,-34.0,-5.0,48.0,-40.0,-12.0,3.0
651,54434,,Ontario,Toronto,2020-10-12,ON,-66.0,-54.0,52.0,-75.0,-82.0,24.0
652,54435,,Ontario,Toronto,2020-10-13,ON,-36.0,-2.0,51.0,-53.0,-49.0,16.0
653,54436,,Ontario,Toronto,2020-10-14,ON,-36.0,-8.0,36.0,-54.0,-47.0,17.0
654,54437,,Ontario,Toronto,2020-10-15,ON,-41.0,-13.0,-30.0,-56.0,-48.0,20.0
655,54438,,Ontario,Toronto,2020-10-16,ON,-36.0,-5.0,32.0,-51.0,-45.0,17.0
656,54439,,Ontario,Toronto,2020-10-17,ON,-31.0,-5.0,91.0,-37.0,-8.0,6.0
657,54440,,Ontario,Toronto,2020-10-18,ON,-35.0,-12.0,39.0,-42.0,-15.0,7.0
658,54441,,Ontario,Toronto,2020-10-19,ON,-40.0,-13.0,-18.0,-57.0,-49.0,18.0
659,54442,,Ontario,Toronto,2020-10-20,ON,-36.0,-7.0,25.0,-54.0,-48.0,17.0
660,54443,,Ontario,Toronto,2020-10-21,ON,-38.0,-12.0,12.0,-55.0,-48.0,19.0
661,54444,,Ontario,Toronto,2020-10-22,ON,-38.0,-7.0,5.0,-54.0,-46.0,19.0
662,54445,,Ontario,Toronto,2020-10-23,ON,-35.0,-8.0,69.0,-50.0,-45.0,16.0
663,54446,,Ontario,Toronto,2020-10-24,ON,-33.0,-5.0,49.0,-38.0,-9.0,7.0
664,54447,,Ontario,Toronto,2020-10-25,ON,-34.0,-11.0,30.0,-41.0,-15.0,6.0
665,54448,,Ontario,Toronto,2020-10-26,ON,-39.0,-11.0,0.0,-56.0,-48.0,17.0
666,54449,,Ontario,Toronto,2020-10-27,ON,-41.0,-14.0,-18.0,-56.0,-48.0,18.0
667,54450,,Ontario,Toronto,2020-10-28,ON,-34.0,-6.0,25.0,-54.0,-46.0,17.0
668,54451,,Ontario,Toronto,2020-10-29,ON,-37.0,-7.0,-8.0,-55.0,-46.0,18.0
669,54452,,Ontario,Toronto,2020-10-30,ON,-37.0,-6.0,-10.0,-53.0,-45.0,17.0
670,54453,,Ontario,Toronto,2020-10-31,ON,-31.0,-2.0,47.0,-36.0,-8.0,6.0
671,54454,,Ontario,Toronto,2020-11-01,ON,-38.0,-12.0,-23.0,-45.0,-17.0,7.0
672,54455,,Ontario,Toronto,2020-11-02,ON,-39.0,-13.0,-23.0,-57.0,-48.0,18.0
673,54456,,Ontario,Toronto,2020-11-03,ON,-39.0,-10.0,-8.0,-55.0,-47.0,17.0
674,54457,,Ontario,Toronto,2020-11-04,ON,-36.0,-11.0,34.0,-54.0,-47.0,18.0
675,54458,,Ontario,Toronto,2020-11-05,ON,-36.0,-8.0,25.0,-54.0,-45.0,18.0
676,54459,,Ontario,Toronto,2020-11-06,ON,-35.0,-8.0,46.0,-51.0,-44.0,17.0
677,54460,,Ontario,Toronto,2020-11-07,ON,-29.0,-6.0,112.0,-33.0,-7.0,6.0
678,54461,,Ontario,Toronto,2020-11-08,ON,-28.0,-8.0,115.0,-36.0,-11.0,4.0
679,54462,,Ontario,Toronto,2020-11-09,ON,-36.0,-10.0,45.0,-55.0,-47.0,17.0
680,54463,,Ontario,Toronto,2020-11-10,ON,-34.0,-7.0,63.0,-53.0,-46.0,16.0
681,54464,,Ontario,Toronto,2020-11-11,ON,-35.0,-9.0,25.0,-56.0,-48.0,18.0
682,54465,,Ontario,Toronto,2020-11-12,ON,-37.0,-6.0,11.0,-55.0,-45.0,18.0
683,54466,,Ontario,Toronto,2020-11-13,ON,-38.0,-8.0,-4.0,-53.0,-45.0,18.0
684,54467,,Ontario,Toronto,2020-11-14,ON,-33.0,-5.0,43.0,-41.0,-10.0,8.0
685,54468,,Ontario,Toronto,2020-11-15,ON,-44.0,-22.0,-40.0,-51.0,-19.0,9.0
686,54469,,Ontario,Toronto,2020-11-16,ON,-40.0,-14.0,-23.0,-59.0,-48.0,18.0
687,54470,,Ontario,Toronto,2020-11-17,ON,-41.0,-13.0,-22.0,-58.0,-48.0,18.0
688,54471,,Ontario,Toronto,2020-11-18,ON,-41.0,-15.0,-23.0,-59.0,-48.0,19.0
689,54472,,Ontario,Toronto,2020-11-19,ON,-37.0,-8.0,3.0,-57.0,-46.0,19.0
690,54473,,Ontario,Toronto,2020-11-20,ON,-34.0,-5.0,33.0,-54.0,-47.0,18.0
691,54474,,Ontario,Toronto,2020-11-21,ON,-30.0,-2.0,11.0,-41.0,-8.0,8.0
692,54475,,Ontario,Toronto,2020-11-22,ON,-42.0,-23.0,-34.0,-49.0,-17.0,9.0
693,54476,,Ontario,Toronto,2020-11-23,ON,-51.0,-21.0,-28.0,-62.0,-50.0,20.0
694,54477,,Ontario,Toronto,2020-11-24,ON,-49.0,-18.0,-25.0,-62.0,-50.0,20.0
695,54478,,Ontario,Toronto,2020-11-25,ON,-49.0,-21.0,-30.0,-62.0,-49.0,21.0
696,54479,,Ontario,Toronto,2020-11-26,ON,-44.0,-10.0,-9.0,-60.0,-48.0,20.0
697,54480,,Ontario,Toronto,2020-11-27,ON,-45.0,-14.0,-8.0,-59.0,-47.0,20.0
698,54481,,Ontario,Toronto,2020-11-28,ON,-43.0,-11.0,34.0,-49.0,-14.0,10.0
699,54482,,Ontario,Toronto,2020-11-29,ON,-43.0,-15.0,42.0,-50.0,-19.0,8.0
700,54483,,Ontario,Toronto,2020-11-30,ON,-48.0,-24.0,-49.0,-63.0,-50.0,20.0
701,54484,,Ontario,Toronto,2020-12-01,ON,-51.0,-20.0,-28.0,-61.0,-51.0,21.0
702,54485,,Ontario,Toronto,2020-12-02,ON,-46.0,-13.0,-16.0,-60.0,-49.0,20.0
703,54486,,Ontario,Toronto,2020-12-03,ON,-45.0,-10.0,-13.0,-59.0,-48.0,20.0
704,54487,,Ontario,Toronto,2020-12-04,ON,-49.0,-18.0,-30.0,-60.0,-48.0,21.0
705,54488,,Ontario,Toronto,2020-12-05,ON,-45.0,-10.0,4.0,-49.0,-15.0,10.0
706,54489,,Ontario,Toronto,2020-12-06,ON,-47.0,-16.0,9.0,-52.0,-21.0,8.0
707,54490,,Ontario,Toronto,2020-12-07,ON,-48.0,-17.0,-23.0,-62.0,-49.0,19.0
708,54491,,Ontario,Toronto,2020-12-08,ON,-47.0,-15.0,-14.0,-61.0,-49.0,19.0
709,54492,,Ontario,Toronto,2020-12-09,ON,-50.0,-21.0,-29.0,-62.0,-50.0,21.0
710,54493,,Ontario,Toronto,2020-12-10,ON,-46.0,-10.0,-13.0,-60.0,-48.0,20.0
711,54494,,Ontario,Toronto,2020-12-11,ON,-45.0,-11.0,4.0,-58.0,-47.0,20.0
712,54495,,Ontario,Toronto,2020-12-12,ON,-50.0,-18.0,-33.0,-55.0,-18.0,12.0
713,54496,,Ontario,Toronto,2020-12-13,ON,-46.0,-14.0,2.0,-52.0,-20.0,8.0
714,54497,,Ontario,Toronto,2020-12-14,ON,-47.0,-14.0,-23.0,-62.0,-50.0,19.0
715,54498,,Ontario,Toronto,2020-12-15,ON,-46.0,-12.0,-22.0,-61.0,-50.0,19.0
716,54499,,Ontario,Toronto,2020-12-16,ON,-49.0,-20.0,-42.0,-64.0,-50.0,21.0
717,54500,,Ontario,Toronto,2020-12-17,ON,-45.0,-8.0,-21.0,-60.0,-49.0,21.0
718,54501,,Ontario,Toronto,2020-12-18,ON,-45.0,-10.0,-12.0,-59.0,-48.0,20.0
719,54502,,Ontario,Toronto,2020-12-19,ON,-46.0,-10.0,-6.0,-51.0,-16.0,11.0
720,54503,,Ontario,Toronto,2020-12-20,ON,-45.0,-14.0,-5.0,-52.0,-20.0,9.0
721,54504,,Ontario,Toronto,2020-12-21,ON,-39.0,-1.0,-4.0,-62.0,-54.0,19.0
722,54505,,Ontario,Toronto,2020-12-22,ON,-37.0,7.0,-6.0,-61.0,-55.0,18.0
723,54506,,Ontario,Toronto,2020-12-23,ON,-32.0,19.0,1.0,-60.0,-55.0,18.0
724,54507,,Ontario,Toronto,2020-12-24,ON,-40.0,16.0,-30.0,-67.0,-67.0,23.0
725,54508,,Ontario,Toronto,2020-12-25,ON,-84.0,-74.0,-2.0,-84.0,-86.0,32.0
726,54509,,Ontario,Toronto,2020-12-26,ON,-68.0,-44.0,-1.0,-67.0,-43.0,15.0
727,54510,,Ontario,Toronto,2020-12-27,ON,-56.0,-29.0,12.0,-60.0,-27.0,10.0
728,54511,,Ontario,Toronto,2020-12-28,ON,-52.0,-16.0,-15.0,-75.0,-74.0,27.0
729,54512,,Ontario,Toronto,2020-12-29,ON,-47.0,-8.0,5.0,-68.0,-64.0,23.0
730,54513,,Ontario,Toronto,2020-12-30,ON,-47.0,-6.0,-33.0,-69.0,-64.0,25.0
731,54514,,Ontario,Toronto,2020-12-31,ON,-41.0,11.0,5.0,-68.0,-67.0,25.0
